ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"COUNCIL PATH",Notes,
2000,5,10,"Decision of the European Parliament and of the Council establishing a scheme to monitor the average specific emissions of CO2 from new passenger cars",V,,,32000D1753,1998,348,COM,1998,COD,202,,,,,
2000,5,11,"Directive 2000/40/EC of the European Parliament and of the Council of 26 June 2000 on the approximation of the laws of the Member States relating to the front underrun protection of motor vehicles and amending Council Directive 70/156/EEC",V,,,32000L0040,1999,32,COM,1999,COD,7,,Y,,,
2000,5,12,"Directive 2000/ /EC of the European Parliament and of the Council amending Council Directive 93/104/EC concerning certain aspects of the organisation of working time to cover sectors and activities excluded from that Directive.",U,,,32000L0034,1998,662-2,COM,1998,COD,318,,,,,
2000,5,13,"Directive of the European Parliament and of the Council on combating late payment in commercial transactions",V,,,32000L0035,1998,126,COM,1998,COD,99,,,,,
2000,5,14,"Council Regulation implementing Decision 94/728/EC, Euratom on the system of the Communities' own resources",U,,,"32000R1150 ",1997,652,COM,1997,CNS,352,,,,,
2000,5,15,"Directive of the European Parliament and of the Council relating to cocoa and chocolate products intended for human consumption (approval of amendments to the Council's common position at the European Parliament's 2nd reading)",V,LU,"BE, NL","32000L0036 ",1995,722-1,COM,1996,COD,112,,,,,
2000,5,16,"Council Framework Decision on increasing protection by criminal penalties and other sanctions against counterfeiting in connection with the introduction of the euro",U,,,32000F0383,1999,4,JAI,1999,CNS,821,,,,,
2000,5,17,"Council Regulation on the service in the Member States of judicial and extrajudicial documents in civil or commercial matters",U,,,32000R1348,1999,219,COM,1999,CNS,102,,,,,
2000,5,18,"Council Regulation on insolvency proceedings",U,,,32000R1346,1999,1,JAI,1999,CNS,806,,,,,
2000,5,19,"Council Regulation on jurisdiction and the recognition and enforcement of judgments in matrimonial matters and in matters of parental responsibility for children of both spouses",U,,,"32000R1347 ",1999,220,COM,1999,CNS,110,,,,,
